signature;translation;speech part;transcription;synonyms;sentences;groups
bonnet;"1) дамская шляпа (без полей); капор; 2) мужская шотландская шапочка";noun;ˈbɒnɪt;;Up at the High Table, Dumbledore had swapped his pointed wizard's hat for a flowered bonnet, and was chuckling merrily at a joke Professor Flitwick had just read him.;clothes, HARRY POTTER AND THE SORCERER'S STONE (book)
bonny;"красивый; хороший; миловидный";adjective;;beautiful, good-looking, handsome, pretty;;appearance
book;"1) заносить в книгу, регистрировать; 2) заказывать; принимать заказы на билеты";verb;;engage;;
boom;"гудеть; греметь; производить шум (make a resonant sound, like artillery)";verb;;;"""DURSLEY!"" he boomed. | The cannons boomed in the night.";HARRY POTTER AND THE SORCERER'S STONE (book), sounds
booth;"киоск; будка; кабина";noun;;;So I went in a phone booth and called her up.;THE CATCHER IN THE RYE (book), самые сложные слова
bosom;грудь;noun;;breast;We all used to sneak a good look at it, even the girls, because they were only little kids and they didn't have any more bosom than we did.;THE CATCHER IN THE RYE (book)
bother;"1) надоедать, докучать; 2) беспокоить, побеспокоить";verb;;trouble;;
bough;сук;noun;baʊ;;Then the coat on the bough began to flutter, for the wind blew in that direction.;plants, REPEATING
boulder;валун, большой камень;noun;ˈbəʊldə;;Twelve feet tall, its skin was a dull, granite gray, its great lumpy body like a boulder with its small bald head perched on top like a coconut.;HARRY POTTER AND THE SORCERER'S STONE (book)
bound;"1) прыжок, скачок; 2) предел, граница; ограничение";noun;;frisk, hop, jump, leap, skip, spring;He sprang forward with short, stiff bounds, craning his neck as if to see over obstacles.;
bow;"1) кланяться, наклонять (голову); 2) гнуть(ся), сгибать(ся)";verb;;bend, crouch, lean, stoop;;
box smb.'s ears;"бить, колошматить, колотить; бить кулаком; бить рукой (to hit someone on the ears, usually as a punishment)";phrase;;cuff;I've a good mind to box your ears.[Давно пора надрать тебе уши.];idioms, LANGUAGE COURSES
brag;хвастать(ся);verb;;boast;;сложные слова
braid;"1) плести; 2) заплетать в косу; завязывать лентой (волосы)";verb;;;She was a thin woman with a rather long face and braided hair in which she had rubbed copious quantities of henna.;appearance, LANGUAGE COURSES
brainchild;"замысел, идея; плод (чьих-л.) размышлений, умственных усилий";noun;;;The project was the brainchild of one of the students.;films, LANGUAGE COURSES
brand;"1) торговая марка, бренд; 2) головня, угли; кусок железа";noun;;;He seized brands from the fire and hurled them into the pack.;picnic, REPEATING
brandish;махать, размахивать (мечом, палкой);verb;;;Madam Pince the librarian brandished a feather duster at him.;HARRY POTTER AND THE SORCERER'S STONE (book)
brassy;"1) медный; латунный; 2) наглый; бесстыдный";adjective;;immodest, impudent;;materials, THE CATCHER IN THE RYE (book)
brave;храбрый, смелый, отважный;adjective;;bold, courageous, valiant;His heart skipped. He felt braver.;traits
brawl;ссориться, пререкаться, скандалить;verb;brɔːl;quarrel, wrangle;A fine example to set for your children... brawling  in public... what  Gilderoy Lockhart must've thought...[Хороший пример ты подаешь детям... Подраться прилюдно... Боже! Что подумает Златопуст Локонс.];HARRY POTTER AND THE CHAMBER OF SECRETS (book)
break out;вспыхивать (begin suddenly and sometimes violently);phrase;;burst out;As Harry stepped forward, whispers suddenly broke out like little hissing fires all over the hall. | Not for the first time, an argument had broken out over breakfast at number four, Privet Drive.;HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs, самые сложные слова
breast;"грудь; молочная железа";noun;;bosom;;
breathe in;вдохнуть;phrase;;inhale;;phrasal verbs
breathe out;выдохнуть;phrase;;exhale;;phrasal verbs, самые сложные слова
breed;"1) вынашивать (детёнышей); высиживать (птенцов); 2) размножаться, плодиться; 3) выводить, разводить (животных)";verb;;;He breeds pedigree poodles.;LANGUAGE COURSES
bright;"яркий, блестящий; ясный, светлый";adjective;;vivid;The sun shone brightly on a stack of cauldrons outside the nearest shop.;
bring in;"вводить, внедрять; устанавливать, основывать; вносить (законопроект, предложение)";phrase;;;The mayor or New York has brought in a whole lot of new laws to stop citizens from doing what they want, when they want.;LANGUAGE COURSES, phrasal verbs
bring on;навлекать, вызывать (cause to appear);phrase;;;I think the record is three months, they had to keep bringing on substitutes so the players could get some sleep.;HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs
bring up;"воспитывать; растить; взрастить";phrase;;foster;"They're just not the same, they've never been brought up to know our ways. | ""Well, my gran brought me up and she's a witch,"" said Neville.";HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs, relationship
bristle;подниматься дыбом;verb;;;This was her day, when manes bristled, and fang smote fang or ripped and tore the yielding flesh, all for the possession of her.;animals, WHITE FANG (book)
broomstick;a broom made of sticks;noun;;;Neville was hanging on to her every word, desperate for anything that might help him hang on to his broomstick later. | The way Seamus Finnigan told it, he'd spent most of his childhood zooming around the countryside on his broomstick.;HARRY POTTER AND THE SORCERER'S STONE (book)
bruise;"ставить синяки; ушибать";verb;bruːz;;Dizzy and bruised, covered in soot, he got gingerly to his feet, holding his broken glasses up to his eyes.;HARRY POTTER AND THE CHAMBER OF SECRETS (book)
brush;"1) чистить щеткой; 2) задевать; касаться";verb;;;The giant squeezed his way into the hut, stooping so that his head just brushed the ceiling.;HARRY POTTER AND THE SORCERER'S STONE (book)
brush up on;освежать знание (предмета);phrase;;;I have to brush up on my German before I go to Austria.;education, LANGUAGE COURSES, phrasal verbs
brutality;жестокость, зверство;noun;;atrocity, cruelty;;violence
buck smb. off;сбрасывать (с седла);phrase;;;It was as though the broom was trying to buck him off.;HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs
